"","palavras","freq"
"asked","asked",105
"chinese","chinese",105
"goin","goin",105
"plane","plane",105
"sounds","sounds",105
"thousand","thousand",105
"andy","andy",104
"jackie","jackie",104
"part","part",104
"yet","yet",104
"fact","fact",103
"met","met",103
"set","set",103
"anybody","anybody",102
"days","days",102
"manager","manager",102
"quite","quite",102
"clerk","clerk",101
"seems","seems",101
"happen","happen",100
"seeing","seeing",100
"cuts","cuts",99
"year","year",99
"full","full",98
"kevin","kevin",98
"steinbrenner","steinbrenner",98
"steve","steve",98
"drink","drink",97
"free","free",97
"knows","knows",97
"question","question",97
"truck","truck",97
"audrey","audrey",96
"son","son",96
"kiss","kiss",95
"knock","knock",95
"lunch","lunch",95
"smiling","smiling",95
"almost","almost",94
"bottle","bottle",94
"living","living",94
"whatever","whatever",94
"able","able",93
"calling","calling",93
"drive","drive",93
"gone","gone",93
"hmm","hmm",93
"desk","desk",92
"fire","fire",92
"park","park",92
"police","police",92
"body","body",91
"girlfriend","girlfriend",91
"rachel","rachel",91
"sir","sir",91
"mmm","mmm",90
"smiles","smiles",90
"tickets","tickets",90
"pen","pen",89
"sign","sign",89
"worry","worry",88
"ackerman","ackerman",87
"different","different",87
"doorman","doorman",87
"eyes","eyes",87
"important","important",87
"notices","notices",87
"holds","holds",86
"nose","nose",86
"outta","outta",86
"sick","sick",86
"yelling","yelling",86
"brett","brett",85
"confused","confused",85
"hallway","hallway",85
"kidding","kidding",85
"marla","marla",85
"past","past",85
"shoes","shoes",85
"trouble","trouble",85
"aren","aren",84
"cynthia","cynthia",84
"finally","finally",84
"hours","hours",84
"jean","jean",84
"lady","lady",84
"music","music",84
"pants","pants",84
"security","security",84
"shower","shower",84
"started","started",84
"fifty","fifty",83
"int","int",83
"also","also",82
"exactly","exactly",82
"kill","kill",82
"onto","onto",82
"sally","sally",82
"van","van",82
"wife","wife",82
"word","word",82
"worked","worked",82
"bar","bar",81
"bought","bought",81
"carrying","carrying",81
"putting","putting",81
"ball","ball",80
"black","black",80
"cherones","cherones",80
"dad","dad",80
"ellen","ellen",80
"eye","eye",80
"fred","fred",80
"hall","hall",80
"hour","hour",80
"kinda","kinda",80
"obviously","obviously",80
"order","order",80
"alone","alone",79
"answers","answers",79
"dead","dead",79
"least","least",79
"arms","arms",78
"boyfriend","boyfriend",78
"buzzer","buzzer",78
"driving","driving",78
"wallet","wallet",78
"wendy","wendy",78
"attendant","attendant",77
"clock","clock",77
"difference","difference",77
"fight","fight",77
"peggy","peggy",77
"act","act",76
"glass","glass",76
"interested","interested",76
"parking","parking",76
"pull","pull",76
"sid","sid",76
"small","small",76
"smell","smell",76
"test","test",76
"bowl","bowl",75
"camera","camera",75
"case","case",75
"conversation","conversation",75
"either","either",75
"meryl","meryl",75
"ooh","ooh",75
"robin","robin",75
"town","town",75
"bald","bald",74
"family","family",74
"feet","feet",74
"florida","florida",74
"jake","jake",74
"nah","nah",74
"pocket","pocket",74
"taken","taken",74
"doin","doin",73
"falls","falls",73
"forgot","forgot",73
"fun","fun",73
"moment","moment",73
"pop","pop",73
"relationship","relationship",73
"rest","rest",73
"times","times",73
"bubble","bubble",72
"carl","carl",72
"cheryl","cheryl",72
"favor","favor",72
"loud","loud",72
"reaches","reaches",72
"short","short",72
"speak","speak",72
"toby","toby",72
"aaron","aaron",71
"easy","easy",71
"eight","eight",71
"heads","heads",71
"jenna","jenna",71
"married","married",71
"nbc","nbc",71
"notice","notice",71
"ride","ride",71
"shakes","shakes",71
"spot","spot",71
"broke","broke",70
"bucks","bucks",70
"cleaning","cleaning",70
"completely","completely",70
"gift","gift",70
"gum","gum",70
"hope","hope",70
"hoyt","hoyt",70
"mary","mary",70
"nods","nods",70
"red","red",70
"round","round",70
"since","since",70
"space","space",70
"suit","suit",70
"true","true",70
"attention","attention",69
"closes","closes",69
"damn","damn",69
"leans","leans",69
"nazi","nazi",69
"seven","seven",69
"tried","tried",69
"allison","allison",68
"bania","bania",68
"beside","beside",68
"ohh","ohh",68
"road","road",68
"wall","wall",68
"white","white",68
"afraid","afraid",67
"bet","bet",67
"board","board",67
"cable","cable",67
"clean","clean",67
"middle","middle",67
"surprised","surprised",67
"throw","throw",67
"upset","upset",67
"ahh","ahh",66
"bus","bus",66
"fat","fat",66
"group","group",66
"health","health",66
"pilot","pilot",66
"toilet","toilet",66
"worker","worker",66
"chance","chance",65
"checks","checks",65
"closing","closing",65
"cold","cold",65
"excited","excited",65
"news","news",65
"shocked","shocked",65
"shows","shows",65
"sometimes","sometimes",65
"talked","talked",65
"wha","wha",65
"fingers","fingers",64
"perfect","perfect",64
"shouldn","shouldn",64
"todd","todd",64
"wedding","wedding",64
"yada","yada",64
"cool","cool",63
"nervous","nervous",63
"nine","nine",63
"seem","seem",63
"sidra","sidra",63
"thirty","thirty",63
"towards","towards",63
"whatley","whatley",63
"calls","calls",62
"carol","carol",62
"comedy","comedy",62
"feeling","feeling",62
"gail","gail",62
"gwen","gwen",62
"magazine","magazine",62
"message","message",62
"nana","nana",62
"neck","neck",62
"reason","reason",62
"seats","seats",62
"singing","singing",62
"brother","brother",61
"caught","caught",61
"chicken","chicken",61
"elevator","elevator",61
"flight","flight",61
"heh","heh",61
"steps","steps",61
"throws","throws",61
"train","train",61
"weekend","weekend",61
"worried","worried",61
"angry","angry",60
"cake","cake",60
"clown","clown",60
"fantastic","fantastic",60
"large","large",60
"likes","likes",60
"movies","movies",60
"officer","officer",60
"phil","phil",60
"salesman","salesman",60
"staring","staring",60
"step","step",60
"surprise","surprise",60
"sweater","sweater",60
"terrible","terrible",60
"yesterday","yesterday",60
"alec","alec",59
"button","button",59
"continues","continues",59
"deena","deena",59
"far","far",59
"kids","kids",59
"ladies","ladies",59
"player","player",59
"shoulder","shoulder",59
"smile","smile",59
"taste","taste",59
"though","though",59
"write","write",59
"yankee","yankee",59
"corner","corner",58
"looked","looked",58
"mohel","mohel",58
"passes","passes",58
"quiet","quiet",58
"school","school",58
"birthday","birthday",57
"busy","busy",57
"chest","chest",57
"double","double",57
"drops","drops",57
"forward","forward",57
"gary","gary",57
"huge","huge",57
"interesting","interesting",57
"knocks","knocks",57
"mom","mom",57
"reston","reston",57
"soda","soda",57
"soon","soon",57
"vandelay","vandelay",57
"waves","waves",57
"airport","airport",56
"anna","anna",56
"approaches","approaches",56
"blood","blood",56
"boys","boys",56
"catch","catch",56
"drake","drake",56
"fish","fish",56
"hurt","hurt",56
"peter","peter",56
"writing","writing",56
"ben","ben",55
"bill","bill",55
"drop","drop",55
"felt","felt",55
"hang","hang",55
"hat","hat",55
"joke","joke",55
"liked","liked",55
"milos","milos",55
"mistake","mistake",55
"noreen","noreen",55
"return","return",55
"screen","screen",55
"sheila","sheila",55
"teeth","teeth",55
"works","works",55
"dream","dream",54
"finger","finger",54
"happens","happens",54
"ice","ice",54
"jodi","jodi",54
"leg","leg",54
"lisi","lisi",54
"means","means",54
"monica","monica",54
"problems","problems",54
"sandwich","sandwich",54
"sleeping","sleeping",54
"amy","amy",53
"bite","bite",53
"cars","cars",53
"cup","cup",53
"dan","dan",53
"donna","donna",53
"fast","fast",53
"leslie","leslie",53
"mention","mention",53
"owner","owner",53
"pulling","pulling",53
"secretary","secretary",53
"sidewalk","sidewalk",53
"sort","sort",53
"special","special",53
"stick","stick",53
"suddenly","suddenly",53
"touch","touch",53
"using","using",53
"wayne","wayne",53
"answer","answer",52
"craig","craig",52
"donald","donald",52
"dunno","dunno",52
"fired","fired",52
"hits","hits",52
"keith","keith",52
"pair","pair",52
"patty","patty",52
"pig","pig",52
"rock","rock",52
"shake","shake",52
"situation","situation",52
"slowly","slowly",52
"speaks","speaks",52
"whoa","whoa",52
"bruce","bruce",51
"cadillac","cadillac",51
"cigar","cigar",51
"control","control",51
"crowd","crowd",51
"danielle","danielle",51
"human","human",51
"indicating","indicating",51
"killed","killed",51
"lets","lets",51
"marisa","marisa",51
"pam","pam",51
"returns","returns",51
"stu","stu",51
"tia","tia",51
"weeks","weeks",51
"wondering","wondering",51
"alarm","alarm",50
"barry","barry",50
"breakfast","breakfast",50
"brien","brien",50
"choate","choate",50
